v0,seed,T_evac,J,J_over_v0,N_exited,N_injured,N_stuck,cleared,wall_s
3.5,17,143.908,1.3897768018456238,0.3970790862416068,200,0,0,1,5.51
3.5,16,161.783,1.2362238306867843,0.35320680876765265,200,0,0,1,6.46
3.5,18,152.001,1.3157808172314656,0.3759373763518473,200,0,0,1,5.5
3.5,19,142.44,1.4040999719180005,0.40117142054800015,200,0,0,1,5.62
4.0,0,138.207,1.4471047052609491,0.3617761763152373,200,0,0,1,5.69
4.0,2,137.30954773869345,1.4492801358482834,0.36232003396207085,199,1,0,0,5.42
4.0,4,138.239,1.4467697248967368,0.3616924312241842,200,0,0,1,5.21
4.0,3,150.032,1.3330489495574276,0.3332622373893569,200,0,0,1,6.04
4.0,5,151.494,1.3201842977279628,0.3300460744319907,200,0,0,1,5.9
4.0,1,209.11758793969847,0.951617709254489,0.23790442731362224,199,1,0,0,8.3
4.0,10,129.306,1.54671863641285,0.3866796591032125,200,0,0,1,4.97
4.0,6,146.07,1.3692065448072843,0.3423016362018211,200,0,0,1,5.76
4.0,7,142.399,1.4045042451140808,0.3511260612785202,200,0,0,1,5.8
4.0,8,140.476,1.4237307440416869,0.3559326860104217,200,0,0,1,5.85
4.0,11,152.641,1.310263952673266,0.3275659881683165,200,0,0,1,6.03
4.0,15,128.7173469387755,1.5227162823145162,0.38067907057862904,196,3,1,0,5.07
4.0,14,143.927,1.389593335510363,0.3473983338775907,200,0,0,1,5.37
4.0,12,152.658,1.3101180416355516,0.3275295104088879,200,0,0,1,5.99
4.0,9,164.053,1.2191182117974069,0.3047795529493517,200,0,0,1,6.76
4.0,13,154.5045685279188,1.2750432034273622,0.31876080085684055,197,1,2,0,6.17
4.0,16,160.79497487437186,1.237600865048659,0.30940021626216474,199,1,0,0,5.85
4.0,17,166.83,1.1988251513516752,0.2997062878379188,200,0,0,1,6.46
4.0,19,156.435,1.2784862722536516,0.3196215680634129,200,0,0,1,6.14
4.5,1,117.29641025641025,1.6624549683466825,0.3694344374103739,195,4,1,0,4.75
4.0,18,167.622,1.1931608022813234,0.29829020057033084,200,0,0,1,6.84
4.5,0,137.066,1.4591510659098537,0.32425579242441194,200,0,0,1,5.51
4.5,4,139.61717171717174,1.4181636654343404,0.3151474812076312,198,2,0,0,5.9
4.5,2,160.51111111111112,1.23355946282708,0.27412432507268447,198,2,0,0,6.29
4.5,10,113.73197969543146,1.7321425383393143,0.3849205640754032,197,2,1,0,4.59
4.5,3,170.851,1.1706106490450743,0.2601356997877943,200,0,0,1,6.87
4.5,7,147.891,1.352347336890007,0.3005216304200016,200,0,0,1,5.97
4.5,6,149.992,1.3334044482372394,0.2963120996082754,200,0,0,1,6.09
4.5,9,143.90552763819096,1.38285167544313,0.3073003723206955,199,1,0,0,5.7
4.5,11,132.3622448979592,1.4807847974405426,0.32906328832012055,196,3,1,0,5.71
4.5,8,161.25888324873097,1.2216381264165197,0.27147513920367106,197,1,2,0,6.96
4.5,14,113.07839195979899,1.7598410850301744,0.3910757966733721,199,1,0,0,4.38
4.5,17,111.50558375634517,1.7667276683692517,0.3926061485265004,197,3,0,0,4.14
4.5,12,169.603,1.179224424096272,0.26204987202139374,200,0,0,1,6.77
4.5,13,145.24343434343436,1.3632285748064898,0.30293968329033105,198,1,1,0,5.47
4.5,5,233.12261306532662,0.8536280431286833,0.18969512069526295,199,1,0,0,9.36
4.5,16,171.47,1.1663847903423339,0.2591966200760742,200,0,0,1,6.91
4.5,18,122.28629441624365,1.6109736658585994,0.35799414796857765,197,2,1,0,5.54
4.5,19,136.00603015075376,1.4631704181014735,0.3251489818003275,199,1,0,0,5.61
5.0,1,160.71088082901554,1.2009143314032216,0.2401828662806443,193,5,2,0,6.89
5.0,4,151.9671794871795,1.2831718049781329,0.2566343609956266,195,3,2,0,6.54
5.0,2,148.65,1.291624621594349,0.2583249243188698,192,6,2,0,6.74
5.0,6,97.42459770114942,1.785996597427542,0.3571993194855084,174,7,19,0,5.69
5.0,10,118.58526315789473,1.602222695639824,0.3204445391279648,190,5,5,0,5.07
5.0,7,128.92608695652171,1.4271743162580517,0.2854348632516103,184,5,11,0,5.92
5.0,9,118.67619047619047,1.59256881470187,0.318513762940374,189,7,4,0,5.5
5.0,3,172.20201005025126,1.155619495625682,0.2311238991251364,199,1,0,0,7.3
5.0,11,171.57664974619286,1.1481748844695068,0.22963497689390136,197,1,2,0,7.2
5.0,12,141.6020304568528,1.3912229885716745,0.2782445977143349,197,3,0,0,6.06
5.0,8,208.78201058201057,0.9052504067430651,0.18105008134861303,189,4,7,0,9.46
5.0,14,177.02722513089006,1.078930090322428,0.21578601806448558,191,6,3,0,7.17
5.0,16,120.72460732984294,1.582113242896298,0.3164226485792596,191,3,6,0,5.37
5.0,18,124.22826086956522,1.4811444570828594,0.2962288914165719,184,4,12,0,5.8
5.0,19,129.85888324873096,1.517031373376801,0.3034062746753602,197,3,0,0,5.8
5.0,5,309.27253886010357,0.6240450597759075,0.1248090119551815,193,5,2,0,13.51
5.5,2,153.41069518716577,1.218950215771164,0.22162731195839347,187,9,4,0,6.96
5.5,0,139.39306358381504,1.2410947543023014,0.22565359169132754,173,8,19,0,7.44
5.0,17,265.32615384615383,0.7349445095151396,0.1469889019030279,195,4,1,0,8.87
5.5,5,100.07235602094241,1.9086189992372011,0.34702163622494564,191,8,1,0,4.6
5.0,15,240.9422680412371,0.8051721334622659,0.1610344266924532,194,4,2,0,9.23
5.5,1,183.50851063829785,1.0244756460944475,0.18626829928989955,188,7,5,0,8.58
5.5,4,147.58526315789473,1.2873914097827484,0.23407116541504516,190,8,2,0,6.94
5.5,7,123.6659217877095,1.4474480714847173,0.26317237663358495,179,6,15,0,5.75
5.0,0,380.83750000000003,0.25207601667377816,0.05041520333475563,96,7,97,0,19.44
5.5,3,229.4314606741573,0.775830827546353,0.14106015046297327,178,8,14,0,9.15
5.5,10,101.0964640883978,1.790369244187762,0.3255216807614113,181,8,11,0,5.0
5.5,8,150.98306878306877,1.25179598959903,0.22759927083618728,189,4,7,0,7.18
5.5,6,131.96842105263158,1.151790699529393,0.20941649082352598,152,10,38,0,8.66
5.5,12,195.14224598930483,0.9582753291168378,0.17423187802124324,187,5,8,0,8.7
5.5,9,250.58983050847456,0.7063335317352958,0.12842427849732652,177,10,13,0,10.53
5.5,16,158.96666666666667,1.132312853847767,0.20587506433595762,180,6,14,0,7.98
5.5,19,147.71473684210525,1.2862629962445398,0.23386599931718904,190,8,2,0,6.37
5.5,18,230.50232558139535,0.7461963759635175,0.13567206835700318,172,8,20,0,7.37
6.0,1,136.1545945945946,1.3587495930698807,0.2264582655116468,185,13,2,0,6.16
5.5,17,222.43212435233158,0.8676804241382363,0.15776007711604298,193,5,2,0,9.57
6.0,0,177.55444444444447,1.0137735530259888,0.1689622588376648,180,13,7,0,8.0
4.5,15,137.59542857142856,0.050873783182165525,0.01130528515159234,7,5,188,0,32.18
6.0,7,110.9145945945946,1.6679500175445434,0.2779916695907572,185,9,6,0,5.08
6.0,6,136.8923076923077,1.3295122499438075,0.22158537499063458,182,15,3,0,6.12
6.0,2,250.24088397790055,0.7233030715156226,0.12055051191927042,181,13,6,0,10.32
6.0,4,159.85913978494625,1.1635243393040915,0.19392072321734857,186,11,3,0,7.07
6.0,5,135.42222222222222,1.262717426977355,0.2104529044962258,171,9,20,0,7.48
6.0,10,197.8022857142857,0.8847218290125206,0.14745363816875343,175,10,15,0,8.97
5.0,13,400.0,0.0375,0.0075,15,5,180,0,31.97
5.5,13,280.504375,0.2281604342178264,0.041483715312332074,64,9,127,0,22.09
6.0,12,175.12817679558015,1.033528717718987,0.17225478628649782,181,7,12,0,8.46
6.0,16,192.5141242937853,0.919413059427733,0.15323550990462217,177,11,12,0,8.05
